"","ID","focal","competitor","density","competition","inoculum","decay","treatment","tot_focal","tot_comp","Above_focal","Above_comp","Below_focal","Below_comp","Remove_density","Above_focal_initial","Below_focal_initial","tot_focal_initial","Above_comp_initial","Below_comp_initial","tot_comp_initial","moss"
"1","001","MACHZU","MACHZU",0,"conspecific","unsterilized+living","living","unsterilized",0.37595,0,0.24474,0,0.13121,0,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"2","002","MACHZU","MACHZU",1,"conspecific","unsterilized+living","living","unsterilized",0.13857,0.25526,0.07262,0.19386,0.06595,0.0614,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"3","003","MACHZU","MACHZU",2,"conspecific","unsterilized+living","living","unsterilized",0.205444723284963,1.98657527671504,0.12608,1.35071,0.0793647232849626,0.635865276715037,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,50
"4","004","MACHZU","MACHZU",4,"conspecific","unsterilized+living","living","unsterilized",0.337590227842951,1.79339977215705,0.22124,1.25346,0.116350227842951,0.539939772157049,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,3
"5","005","ENGERO","MACHZU",0,"heterospecific","unsterilized+living","living","unsterilized",0.46535,0,0.38607,0,0.07928,0,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,80
"6","006","ENGERO","MACHZU",1,"heterospecific","unsterilized+living","living","unsterilized",0.22282,0.22021,0.16489,0.14366,0.05793,0.07655,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"7","007","ENGERO","MACHZU",2,"heterospecific","unsterilized+living","living","unsterilized",0.25646,0.79816,0.18579,0.58085,0.07067,0.21731,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,5
"8","008","ENGERO","MACHZU",4,"heterospecific","unsterilized+living","living","unsterilized",0.50399,2.64444,0.39548,1.48405,0.10851,1.16039,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"9","009","MACHZU","MACHZU",0,"conspecific","sterilized+living","living","sterilized",0.28596,0,0.17463,0,0.11133,0,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,90
"10","010","MACHZU","MACHZU",1,"conspecific","sterilized+living","living","sterilized",0.18643,0.1069,0.12264,0.07317,0.06379,0.03373,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"11","011","MACHZU","MACHZU",2,"conspecific","sterilized+living","living","sterilized",0.326502035840384,0.552007964159616,0.2043,0.39614,0.122202035840384,0.155867964159616,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"12","012","MACHZU","MACHZU",4,"conspecific","sterilized+living","living","sterilized",0.1365390301473,0.8745709698527,0.08064,0.58874,0.0558990301473005,0.2858309698527,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"13","013","ENGERO","MACHZU",0,"heterospecific","sterilized+living","living","sterilized",0.145,0,0.11552,0,0.02948,0,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"14","014","ENGERO","MACHZU",1,"heterospecific","sterilized+living","living","sterilized",0.1964,1.14552,0.16279,0.76564,0.03361,0.37988,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"15","015","ENGERO","MACHZU",2,"heterospecific","sterilized+living","living","sterilized",0.13449,0.64963,0.11265,0.42541,0.02184,0.22422,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
